2024-04-17 19:51:54		1d6: 1
2024-04-17 19:51:54		Total: 1
2024-04-18 14:15:14		1d6: 4
2024-04-18 14:15:14		Total: 4
2024-04-18 18:19:42		1d6: 6
2024-04-18 18:19:42		Total: 6
2024-04-18 18:19:51		1d6: 3
2024-04-18 18:19:51		1d6: 3
2024-04-18 18:19:51		Total: 3
2024-04-18 18:19:51		Total: 3
2024-04-18 18:20:01		1d6: 4
2024-04-18 18:20:01		1d6: 4
2024-04-18 18:20:01		1d6: 4
2024-04-18 18:20:01		Total: 4
2024-04-18 18:20:01		Total: 4
2024-04-18 18:20:01		Total: 4
2024-04-18 20:30:49		1d6: 2
2024-04-18 20:30:49		Total: 2
2024-04-18 20:36:34		1d6: 1
2024-04-18 20:36:34		Total: 1
2024-04-18 20:39:25		1d6: 5
2024-04-18 20:39:25		Total: 5
2024-04-18 20:40:29		1d6: 3
2024-04-18 20:40:29		1d6: 3
2024-04-18 20:40:29		Total: 3
2024-04-18 20:40:29		Total: 3
2024-04-18 20:40:35		1d6: 3
2024-04-18 20:40:35		1d6: 3
2024-04-18 20:40:35		1d6: 3
2024-04-18 20:40:35		Total: 3
2024-04-18 20:40:35		Total: 3
2024-04-18 20:40:35		Total: 3
2024-04-18 20:44:06		1d6: 5
2024-04-18 20:44:06		Total: 5
2024-04-18 20:44:22		1d6: 4
2024-04-18 20:44:22		1d6: 4
2024-04-18 20:44:22		Total: 4
2024-04-18 20:44:22		Total: 4
2024-04-18 20:44:41		1d6: 4
2024-04-18 20:44:41		1d6: 4
2024-04-18 20:44:41		1d6: 4
2024-04-18 20:44:41		Total: 4
2024-04-18 20:44:41		Total: 4
2024-04-18 20:44:41		Total: 4
2024-04-19 02:41:49		1d6: 3
2024-04-19 02:41:49		Total: 3
2024-04-19 03:26:01		1d6: 3
2024-04-19 03:26:01		Total: 3
2024-04-19 03:28:58		1d6: 4
2024-04-19 03:28:58		Total: 4
2024-04-19 13:05:54		1d6: 1
2024-04-19 13:05:54		Total: 1
2024-04-19 13:20:38		1d6: 2
2024-04-19 13:20:38		Total: 2
2024-04-19 13:24:19		1d6: 1
2024-04-19 13:24:19		Total: 1
2024-04-19 13:24:36		1d6: 5
2024-04-19 13:24:36		1d6: 5
2024-04-19 13:24:36		Total: 5
2024-04-19 13:24:36		Total: 5
2024-04-19 14:03:56		1d4: 1
2024-04-19 14:03:56		Total: 1
2024-04-19 14:07:47		1d4: 4
2024-04-19 14:07:47		Total: 4
2024-04-19 14:09:17		1d4: 2
2024-04-19 14:09:17		1d4: 2
2024-04-19 14:09:17		Total: 2
2024-04-19 14:09:17		Total: 2
2024-04-19 14:09:31		1d20: 13
2024-04-19 14:09:31		1d20: 13
2024-04-19 14:09:31		1d20: 13
2024-04-19 14:09:31		Total: 13
2024-04-19 14:09:31		Total: 13
2024-04-19 14:09:31		Total: 13
2024-04-19 14:09:40		1d4: 1
2024-04-19 14:09:40		1d4: 1
2024-04-19 14:09:40		1d4: 1
2024-04-19 14:09:40		1d4: 1
2024-04-19 14:09:40		Total: 1
2024-04-19 14:09:40		Total: 1
2024-04-19 14:09:40		Total: 1
2024-04-19 14:09:40		Total: 1
2024-04-19 15:05:31		1d4: 2
2024-04-19 15:05:31		Total: 2
2024-04-19 15:06:00		1d4: 4
2024-04-19 15:06:00		1d4: 4
2024-04-19 15:06:00		Total: 4
2024-04-19 15:06:00		Total: 4
2024-04-19 17:56:03		1d4: 4
2024-04-19 17:56:03		Total: 4
2024-04-19 17:56:34		1d4: 4
2024-04-19 17:56:34		1d4: 4
2024-04-19 17:56:34		Total: 4
2024-04-19 17:56:34		Total: 4
2024-04-19 17:59:50		1d4: 3
2024-04-19 17:59:50		Total: 3
2024-04-19 18:03:07		1d4: 2
